Variety,Variety_Type,Pesticide,Pesticide_Type,Dose_Rate (g/L),Blast_Severity (%),Yield (kg/ha),Leaf_Area_Index,Tillers_per_Plant,Grain_Weight (g),Straw_Yield (kg/ha),Soil_pH,Soil_Moisture (%),Temperature (°C),Humidity (%),Rainfall (mm),Disease_Incidence (%),Plant_Height (cm),Root_Length (cm),Chlorophyll_Content (SPAD)
MTU1010,0,Pseudomonas,2,low,25.00337971,4067.308809,3.216082559,19,35.68026841,6339.568103,6.838470484,73.19069915,25.50264675,78.8149861,62.42320697,42.90067102,131.4166789,26.41729422,57.61366795
Swarna,0,Chemical_A,2,medium,16.23688205,3296.559464,3.612784542,19,21.47953589,4765.974616,5.76573184,70.69895177,33.9329104,50.93180102,183.0444459,59.53086522,127.9192143,36.37925145,48.09092163
BR11,0,Chemical_A,2,high,68.01162564,4624.089532,5.998331748,23,15.59288013,4956.357425,7.082252309,74.24532159,27.03404754,85.80269442,128.9605762,5.079478405,137.3683354,16.57038281,52.26756738
MTU1010,1,Trichoderma,1,low,24.48091301,5182.249885,4.533996316,14,36.32977118,5736.141298,7.180122545,67.10158919,32.34652418,81.97429091,149.3355449,14.31890863,125.1845011,33.40889628,36.91839214
Pusa44,1,Pseudomonas,2,medium,20.76579097,3132.09556,4.165767889,22,39.42709801,5679.743875,6.099785999,68.41188901,27.08920841,83.48894225,149.2355462,54.56307692,134.5879477,37.82138936,45.45466876
IR64,0,Chemical_A,1,high,33.59210807,6307.420976,2.414542183,12,27.67976134,6903.244469,7.151389644,55.70876025,33.09639311,76.19609386,249.687374,15.80377851,96.34903974,24.26147574,54.38977615
BR11,0,Trichoderma,1,low,19.86469575,4784.763975,4.837480825,18,23.39186685,5205.73285,6.00092225,53.44503671,23.98322558,86.88763318,242.4747804,15.86707444,124.7375363,24.87494284,57.96322054
IR64,1,Chemical_A,1,medium,52.92303092,3537.778609,4.324456702,20,30.86014655,6650.424851,7.229535842,78.23973559,33.63900286,67.00594162,156.7688557,53.44733585,136.5041218,11.92493043,54.39206221
MTU1010,0,Chemical_B,2,high,10.65298154,5463.980832,2.933815839,7,18.97449792,6276.385311,5.832828124,83.92776953,20.50558777,62.84723945,153.3311981,29.48503413,128.2693817,23.78560695,42.12534743
MTU1010,0,Chemical_B,2,low,94.89850267,6576.219669,4.723820729,22,35.91210589,6329.852421,7.215473315,67.17565306,23.67075705,57.11946518,64.56036006,10.45403172,111.4555422,13.88335065,54.20506669
BR11,1,Trichoderma,1,medium,35.87199496,3344.944999,4.600925729,8,19.64952209,8409.095501,6.591418485,55.71022783,24.25256199,81.35926077,147.9404593,46.94550664,105.0076878,37.31150422,31.54621714
BR11,0,Pseudomonas,2,high,16.7370684,3348.528711,6.671997652,14,17.95160079,5955.098527,5.920119513,84.83963412,28.27663591,68.02971146,50.1976562,63.82822511,132.0822719,28.78941755,41.88732477
Swarna,0,Chemical_A,1,low,8.309238559,3140.435791,6.415179317,17,18.11437917,5641.078272,7.091386938,73.01765401,30.72024315,55.8880405,86.74273099,58.598309,118.6061516,33.05020702,40.67688091
IR64,1,Pseudomonas,2,medium,67.08229999,3749.273906,2.196023531,15,26.32128899,5645.457797,6.429592402,89.15828725,30.27752261,60.49196555,121.3342744,47.279671,85.72049793,16.21750541,43.26824596
MTU1010,0,Trichoderma,2,high,57.10081351,4480.394115,2.503874193,5,34.2551542,5379.138291,6.58100334,64.55421602,30.17509034,57.13127266,54.18028931,25.7118785,109.4274967,30.13384034,59.57409637
Pusa44,0,Pseudomonas,1,low,61.03050176,3063.873241,4.219854703,9,22.77414098,4018.832809,6.8338261,66.69771732,30.85790246,84.11568485,261.0625863,36.11459314,101.4293792,18.91149539,34.95530581
MTU1010,0,Chemical_B,2,medium,76.78670912,4005.993414,5.23040742,18,22.59176438,6524.026997,7.472669056,58.6296378,27.87524448,69.34401111,214.2304508,15.64601503,136.4939329,35.05449275,46.83982406
IR64,1,Chemical_A,2,high,8.502550348,4931.700726,3.69726113,19,33.06658079,6403.651294,5.900962497,70.59313749,30.23837869,75.0645554,60.66119416,17.79633575,92.25672496,26.79846575,33.51009186
BR11,0,Pseudomonas,2,low,33.68889696,5711.83605,4.856722324,6,23.73692671,8847.16024,5.767115824,80.75831147,30.63506491,56.38797357,178.2872827,28.9513697,115.4738416,17.42677727,56.57257522
IR64,1,Chemical_B,1,medium,17.3864008,4326.052026,2.282149212,19,26.65024217,6010.786267,5.917823453,81.69263428,25.03654654,64.83309548,93.77155638,68.46345647,110.1920308,14.46924965,38.037783
Pusa44,0,Trichoderma,2,high,47.32038515,5822.672451,2.425741014,12,16.46800204,6065.672628,6.166173909,85.49207638,29.1149006,63.88411276,289.4796333,41.06760152,102.5355087,17.04956556,59.82449976
BR11,0,Chemical_A,1,low,42.9046951,6489.41555,6.79549362,21,20.53881952,8773.086017,7.263066503,75.88722302,29.32144602,70.83735444,227.5311642,43.18088552,121.0979777,25.79477922,45.09812617
Pusa44,0,Chemical_B,1,medium,26.53028939,6420.79786,4.094214201,24,17.85413776,6098.995446,5.900280898,73.28775003,28.68184131,65.44921253,259.6221861,47.25982984,124.962096,38.31437402,51.51005975
MTU1010,1,Trichoderma,1,high,8.091487331,5553.335917,4.830419852,18,24.47610841,5403.10346,6.559274009,68.46220103,20.38220723,77.97166709,252.7628518,13.01699616,118.7390216,20.51078537,42.85974391
BR11,1,Pseudomonas,1,low,25.41501002,4185.344444,2.602795425,23,22.56394059,5460.313564,6.449346634,57.24278622,22.05235974,52.8814345,122.1389099,36.51821045,134.6161448,25.15227918,48.92934921
Pusa44,1,Pseudomonas,2,medium,32.76283254,3478.037395,5.961725775,13,24.03986557,6400.415013,7.466378284,76.29811092,21.24044449,86.85987664,156.1147035,15.48041401,84.36221702,17.63782829,59.52679437
MTU1010,0,Chemical_A,2,high,61.07243248,6406.166095,2.845200758,17,39.61828781,6008.416031,6.641989816,63.5367054,23.70165269,56.61609175,218.9050332,23.3798187,132.415562,23.68411646,33.48065804
Swarna,1,Chemical_B,1,low,30.59225288,4491.509512,4.679219481,7,19.18287592,6538.900539,5.762912943,63.10986703,29.12331851,61.8129969,255.2222874,68.49592353,90.3566748,32.51543594,50.88012809
BR11,1,Trichoderma,2,medium,86.52587038,6469.559957,4.108992814,7,28.39217596,5301.379618,5.984851618,50.90419305,30.37347272,88.14355655,62.97473513,8.905013543,118.7665998,13.53366221,40.69189625
BR11,1,Trichoderma,2,high,30.13853133,4193.151341,2.243013119,21,27.63483235,8084.651561,5.614524834,67.34293842,32.33673832,53.99353748,66.08540932,34.4471397,80.38940212,34.44306453,48.85094287
IR64,1,Trichoderma,1,low,15.43214166,4063.847318,5.085104415,5,28.3762353,4958.613724,5.529902544,82.6891536,26.11034466,86.37314893,228.7810673,7.89820511,81.25719007,33.4468852,32.33101346
Pusa44,1,Trichoderma,1,medium,41.94899457,3787.405843,5.948721602,17,35.86722017,6349.236257,5.94704816,64.85085884,26.9221836,63.15998443,82.13948761,24.89447134,88.56372772,19.25388689,38.14480621
BR11,1,Trichoderma,1,high,42.50732869,6950.343832,2.645247591,8,37.82993855,4626.278643,6.355521735,75.87176463,32.90166939,50.30306851,150.3545226,42.3193159,134.8267834,39.24457086,52.90392778
Pusa44,1,Chemical_A,1,low,49.28940383,6671.348866,5.62925439,21,16.30376855,7889.997815,6.704815854,89.97017619,23.65716829,59.66609221,88.81544208,67.77898213,120.0017418,30.85414444,53.06724329
BR11,1,Chemical_B,1,medium,35.82191345,4033.265181,6.163570723,10,26.80334816,8675.667151,6.504388066,79.02533133,25.07468036,64.76987761,113.1291649,12.12072713,131.0743308,25.32971941,51.64487687
BR11,0,Pseudomonas,1,high,31.19598422,5920.397377,6.157711923,16,33.57375122,5678.553241,6.401327076,51.66429884,24.5380296,67.90140641,149.0227415,52.86222832,105.1048793,21.89500832,43.84733328
Swarna,0,Pseudomonas,1,low,55.90955767,4328.801821,5.454056166,24,27.99033894,8475.315024,5.725236148,66.08131736,26.88062154,86.91704509,90.49323862,69.39328503,87.30944001,19.99674193,43.40486249
IR64,0,Pseudomonas,1,medium,39.92787129,4592.580005,5.344515567,15,31.185255,7325.168564,6.337430295,70.50152381,33.99985174,57.96935062,129.6566955,63.5246921,116.9901724,20.54773716,36.07792236
MTU1010,0,Chemical_B,1,high,6.596429768,3196.150909,5.393403348,23,17.22635451,7976.624627,6.738831671,64.29952324,24.61203839,64.5709923,175.7958963,24.86878067,127.1116673,12.79152539,31.19306233
Pusa44,0,Chemical_B,1,low,17.55239989,3722.763723,3.989511423,24,32.57523597,8541.460562,7.498333367,50.55659187,20.62804621,61.59052703,117.4310354,58.32625678,103.1198002,20.45841784,32.13069736
BR11,1,Trichoderma,2,medium,61.80333245,4599.344247,6.825003958,18,31.42580262,4432.355484,6.424661988,70.77506906,25.69300046,52.04928895,275.0878256,58.90990596,135.3043224,24.9313971,40.75227402
MTU1010,0,Pseudomonas,1,high,39.41502767,4006.006428,6.950185076,15,37.86119773,7431.553464,7.443002346,56.47140732,30.41939053,87.80288428,60.66024263,30.12247428,136.5688963,12.30234793,33.68538755
BR11,0,Chemical_A,1,low,88.91077321,3422.122047,4.433304228,22,25.58776665,6890.912489,5.949609207,64.53362897,24.31255502,64.90624296,68.95644415,35.47859563,136.2879587,29.8032396,32.49326203
Pusa44,1,Chemical_A,2,medium,88.90937956,3291.145069,3.662089573,22,31.12825007,4726.784896,6.633769865,84.14021596,23.24965432,85.83125283,292.8900253,63.10485054,111.0742623,32.40249022,32.29304373
MTU1010,0,Pseudomonas,1,high,16.9561158,4379.117658,6.334283104,24,39.84614666,5194.468237,5.654105106,54.5504602,21.88002421,78.04061872,161.2254985,51.57084606,96.41713818,21.74095494,31.02140991
Pusa44,1,Chemical_B,2,low,72.74378062,6077.286746,4.244320059,8,34.48622813,8815.48029,5.838721711,56.76159205,28.74249598,80.83263693,81.67024518,64.63133613,86.40197442,28.32994764,38.73617381
IR64,0,Pseudomonas,1,medium,32.02645985,6290.20342,6.075119644,17,22.68783459,8243.460694,6.621327741,63.4756396,23.6899429,88.99614819,177.6909538,11.76374271,127.5210589,21.81551327,51.07994923
IR64,1,Trichoderma,1,high,33.35622126,6789.92492,3.200243625,20,17.12236157,7448.228957,7.364155632,84.1041966,20.26785063,75.67038295,280.3888264,15.80462185,96.24757629,37.48698476,33.55567032
Pusa44,1,Chemical_A,2,low,79.36763444,3685.643789,4.79832363,7,23.70698812,6474.233988,5.53586136,83.37160356,23.54967146,72.73105673,191.2679435,13.8813113,132.1577094,37.69502043,36.59802992
IR64,0,Trichoderma,2,medium,11.38022633,5733.251149,3.785448323,7,36.92314876,6849.678165,7.149275405,85.74599036,26.85621697,81.37035353,221.8411126,50.95233495,126.2711928,12.29225831,47.62090968
IR64,0,Pseudomonas,2,high,51.03476166,6047.56952,5.063948115,15,37.23360866,6803.716836,7.381930777,80.39628062,22.19657333,58.74281151,265.7757548,6.631643309,125.2720613,19.23922243,33.59942548
IR64,1,Pseudomonas,2,low,13.56859583,4131.420202,5.396637721,18,15.1579871,4942.72886,5.732859956,86.14653697,32.53770955,57.65804496,217.9675864,52.507877,136.307358,39.33150768,49.57425899
Pusa44,1,Trichoderma,2,medium,53.57765201,5927.67494,5.92815118,11,18.34296532,5158.886837,7.240800811,81.97316683,28.95395643,63.89162775,113.183288,50.16676451,95.72008989,25.93213357,54.39487236
BR11,0,Chemical_B,1,high,41.30253828,6246.773426,5.105081484,6,37.10398407,5671.118678,5.762390132,67.83103208,33.51596154,85.72799824,246.1115007,42.5295345,120.1519844,33.64288176,48.33717578
IR64,0,Trichoderma,2,low,84.49959557,6160.091664,4.226613495,22,22.5130195,6676.392862,6.613150667,52.17393995,22.96693598,63.03044534,167.4457235,16.46232253,91.8629706,10.02745691,46.2464014
Pusa44,1,Trichoderma,1,medium,88.8079291,3759.170774,2.7478592,19,19.80583225,4446.566753,6.46781675,63.80017054,24.81189212,70.10423681,101.8990367,48.25534516,88.18753189,11.0984989,40.9819233
MTU1010,0,Chemical_B,2,high,37.80630478,4861.352142,3.981657457,14,20.11635055,6340.795661,6.513174785,72.40630621,22.87031713,57.49013402,281.1886766,10.79837241,94.1238879,35.12035752,53.63051653
IR64,0,Pseudomonas,2,low,16.49163734,3541.377264,5.081667149,8,18.6607825,7103.020025,6.39436869,67.03092407,34.36751242,86.01025172,204.924211,16.72216971,80.09860502,12.41682077,52.07895397
Pusa44,0,Chemical_A,1,medium,82.58566714,3926.845083,6.498373237,7,20.59109977,6684.788662,6.46626292,57.46290221,31.83768849,62.32572083,170.3330016,39.57844213,95.09114399,14.02533714,39.31623294
Swarna,1,Chemical_B,1,high,72.38499681,6532.881663,4.292299384,21,16.3766237,4796.731519,7.437797449,82.05857092,23.59496903,77.31093673,195.8021416,12.84509516,132.9381986,31.36045341,41.83793473
Pusa44,0,Chemical_A,1,low,25.27383031,3965.194067,2.237453324,10,23.41705557,6259.516767,6.606700162,74.97255042,22.59306409,81.26853039,77.17996381,47.31861787,118.9693248,16.41583499,50.17745677
MTU1010,0,Trichoderma,1,medium,26.13752306,5625.52811,6.645999961,14,18.51707295,8223.368176,5.970640639,77.19393348,32.29568021,68.30202994,276.3645992,40.40861071,103.8241015,17.89295013,59.52877588
Swarna,0,Chemical_B,1,high,57.04186447,3936.88164,6.426741474,13,16.98377578,7892.914513,6.675359007,51.59992351,23.32658478,80.1708277,98.47613802,66.18623387,107.5392365,36.2445912,35.39670898
BR11,0,Chemical_A,1,low,71.61622932,4985.600909,6.053070723,11,16.41166964,4010.431756,6.087103142,55.52930228,25.60287972,73.9934631,198.3187688,44.09069003,104.5208204,22.13399735,33.63766566
BR11,0,Chemical_B,2,medium,21.1585456,6907.401264,6.705905483,6,32.90842637,6336.911796,7.02656524,76.42555649,32.59930716,65.40673291,150.8960635,61.80720909,93.16433817,31.53686767,58.74936866
BR11,1,Pseudomonas,2,high,24.62047878,5717.016228,2.390080783,10,20.85800067,7245.395649,6.261239015,56.84102362,29.9621281,53.50244612,194.1797875,64.61571869,134.5445248,15.63240819,47.82795122
BR11,1,Chemical_A,2,low,24.91103832,5365.659093,4.244393149,6,33.67554886,5332.358222,6.667201938,76.75183175,34.12792503,53.7659186,179.9230151,30.94455099,105.2364344,24.23543559,42.38847777
BR11,0,Chemical_B,1,medium,45.41059466,6570.109766,2.176806414,20,28.55315502,7544.355563,7.250298008,66.10307163,30.19192089,68.50371054,101.8472738,66.3891465,82.44440637,13.14181738,46.38480275
Swarna,1,Trichoderma,2,high,55.73813197,3711.465339,6.352733716,13,39.72209044,4861.048559,6.095450226,56.22856263,23.0907353,65.70240323,175.9422907,52.34663629,98.2719022,18.69237702,53.59823887
Swarna,1,Chemical_A,1,low,40.59436042,4619.485744,6.716296053,18,21.72011335,5215.835683,6.667884508,54.47463396,21.6523377,79.63400807,226.1712919,55.37838866,83.89845854,27.15913185,50.91611355
IR64,1,Chemical_A,1,medium,70.73456464,4437.178765,2.842438782,21,37.74199667,7155.787449,6.181258897,74.25039663,31.63984792,83.47078457,130.4412892,69.12068555,129.1890054,18.36168991,30.89113219
Pusa44,0,Chemical_A,2,high,10.21739158,5036.05181,3.792552672,19,22.28140088,8448.990317,6.974424472,74.257162,21.80709618,65.09815127,287.605233,21.2696711,80.66941638,24.0305471,48.66436075
IR64,0,Chemical_B,2,low,38.73013908,5916.104097,2.318641257,13,29.86299895,7094.158291,5.758964442,62.90241565,25.45273783,85.1146576,177.3464303,18.25103509,87.78260455,11.43170896,55.17515178
BR11,0,Pseudomonas,2,medium,75.13398667,3679.743519,5.880415467,11,28.82301014,8400.898812,5.513192801,70.17424443,34.38381856,56.18657088,266.6643839,68.05451129,81.03945506,36.29156649,50.04571269
IR64,1,Trichoderma,2,high,24.88654404,5505.193424,6.082353527,21,22.22094408,8441.423518,5.639253737,79.95218211,30.25221151,61.92411272,172.1591223,59.92094273,109.5481264,20.21104675,32.4965735
BR11,0,Chemical_A,2,low,16.43585676,6300.770475,5.666373215,20,39.85628127,8388.161821,7.080953631,57.62517956,22.23042315,54.17153935,174.707663,41.95063951,92.65410837,25.6081313,48.58684729
Swarna,1,Trichoderma,2,medium,18.94048614,5855.429129,2.161556208,16,33.87969111,4591.378524,6.307405173,51.46384242,32.79255986,84.3623588,258.1636512,9.528247825,117.0979448,33.96098258,39.69263948
MTU1010,0,Chemical_A,2,high,77.3003945,5534.289969,6.338841351,9,17.79823641,4771.402025,6.835804057,88.08869496,22.82852703,69.0262573,55.90258008,16.84207716,93.82470618,25.05025729,43.30564675
IR64,0,Chemical_B,2,low,85.99770801,4797.079799,2.970944869,19,37.96979646,8656.092003,6.776619819,61.4886189,31.19076137,87.43452048,140.913508,33.12187031,112.5293827,31.30996365,45.38055446
Swarna,0,Pseudomonas,2,medium,62.06017793,4617.51164,5.364452876,14,31.2484816,5455.108368,6.637359978,76.84368576,23.15633025,88.71449469,178.9877822,37.06973472,130.3279698,17.12227067,58.15774142
BR11,1,Chemical_A,2,high,36.82478753,5688.913688,6.45259964,17,29.86546471,6589.766771,6.748212314,75.68018274,21.25259028,67.66105545,132.1435437,34.75150995,113.1723083,15.32528751,49.19836793
BR11,1,Chemical_A,1,low,21.82496359,3368.617996,2.539884356,21,37.93927126,4753.845561,6.803538989,71.35102101,27.67692773,77.57571218,198.1730141,67.51500518,134.5104933,10.07554925,30.24626535
Pusa44,1,Chemical_B,2,medium,28.08385822,3563.479652,5.330118003,13,26.41831337,7432.957561,6.155967304,79.74632013,28.52849287,77.52240216,58.85248569,5.307366443,126.2150369,24.356303,42.82122824
Swarna,1,Pseudomonas,2,high,82.56869542,5030.461971,6.029202286,14,15.09141299,6908.87793,5.702672998,67.1739744,25.93389293,56.73685449,60.91939271,51.91050026,80.38131037,32.13560595,31.65401513
MTU1010,0,Trichoderma,1,low,58.03531416,6201.0034,6.693018825,11,22.64152412,4481.733251,7.247274106,52.2035202,23.5458851,81.73931459,236.9205742,49.91204222,94.79504959,24.55666124,40.84447557
MTU1010,0,Chemical_B,1,medium,46.49565763,3384.576314,3.309868693,7,36.7818513,8784.319406,6.148066355,53.44360291,24.99139273,74.052112,206.3866855,15.2539477,80.95591945,20.74203705,56.93550819
MTU1010,1,Pseudomonas,1,high,89.63762394,5232.113673,4.34678121,5,38.29622756,4381.486819,6.537028787,75.59028768,20.87744038,65.79498894,90.86805976,45.58154385,136.728397,20.31854747,35.63573214
Pusa44,0,Chemical_B,1,low,49.03827761,3217.967606,6.590800798,18,37.39051401,6740.459305,6.26197602,87.50703276,27.29003385,79.06469717,64.68824265,37.10578897,110.989548,19.97586506,42.41904085
BR11,1,Trichoderma,1,medium,18.15476031,4037.227092,2.747422693,11,35.0761112,5979.823344,7.212078542,64.00800421,24.35870429,73.55557506,187.3430851,32.11666158,86.87851185,27.2913222,48.61584749
IR64,1,Chemical_B,2,high,74.58014071,5988.059929,6.905792885,15,20.63176393,4964.666709,5.781159219,81.43955779,24.22287884,89.4335141,144.3953894,17.94267179,89.78155194,13.89891663,50.09020809
Swarna,1,Pseudomonas,2,low,34.76962421,3441.045881,3.043413521,17,17.93289204,5356.044789,7.135003151,81.49344358,33.15770357,56.053384,255.8462294,31.36169496,83.0664665,23.34626024,39.48779604
BR11,0,Trichoderma,2,medium,81.67028395,4279.724804,6.384923982,18,19.25575182,5790.991669,6.989645195,62.46467007,28.4697214,76.83380106,209.0379478,57.47908183,118.9210273,31.02100544,45.64533818
MTU1010,1,Chemical_A,2,high,28.16596676,3330.727615,3.41261337,15,22.63795408,4951.85814,5.744047532,72.80827141,31.98002939,70.0894945,213.3207786,56.56905617,100.4657879,37.77458369,51.38703586
BR11,0,Chemical_B,1,low,79.50852722,6524.039583,5.71319946,8,36.06710324,7601.911278,7.09846688,82.20781925,26.63552614,84.69224062,218.9359423,28.97496045,90.71213526,38.51950512,32.97428955
BR11,1,Trichoderma,1,medium,78.22141737,5503.495274,4.198265238,21,33.86214383,7291.349278,6.511384377,80.86665327,23.60371522,71.52229531,266.722166,49.27169661,84.18889537,16.43139007,47.98065587
BR11,0,Trichoderma,2,high,73.18815108,5416.24365,3.249112884,23,22.76682098,8139.931367,6.482762491,57.30313279,23.76196439,84.81821958,182.6268102,17.8551638,104.5472902,38.15825226,54.3378599
IR64,1,Chemical_A,2,low,72.47173406,6448.053458,5.277783508,10,15.01623474,5574.482897,5.584068765,76.63202875,29.27146801,60.50244716,124.5635795,21.2051639,117.3717278,30.00684621,53.68725024
IR64,1,Chemical_A,2,medium,88.19611984,4200.161046,3.282432,14,39.61087037,6546.640917,6.509529018,50.29952478,20.0110554,79.79146952,293.9678955,44.40641301,85.4835715,37.54098475,38.91802187
BR11,1,Trichoderma,2,high,25.82438515,5203.045348,5.762206947,12,18.14289293,6216.133674,7.181480965,81.29666581,33.09451843,69.45410104,270.3041354,48.05910412,124.2702941,36.39664836,31.31100534
IR64,1,Pseudomonas,1,low,26.47738982,6296.982869,5.580838101,17,35.07653353,7338.43919,5.93948903,76.57059213,24.13827982,69.88270484,289.110288,7.382555341,98.66350309,39.01339084,40.06321368
Pusa44,0,Pseudomonas,1,medium,58.81468378,3417.518556,4.710748525,13,25.21604889,4383.371353,7.498425804,88.91645898,30.76197604,54.33019696,205.1177715,7.729365797,120.0561314,29.10450091,49.39984114
MTU1010,0,Chemical_B,1,high,19.67589299,5199.495071,4.286090639,6,38.62406145,7605.213768,6.583215801,66.33347573,21.21719914,50.88808798,277.2293327,31.48139082,82.60659075,12.86440887,50.86664515
Pusa44,0,Pseudomonas,2,low,38.57652906,4437.889719,3.041667239,17,35.22943901,6734.837337,6.44168483,82.71252623,27.36814183,56.01112014,56.5501193,69.01688864,85.8739059,11.3702249,31.36510464
Swarna,0,Trichoderma,1,medium,38.44529927,5353.080123,5.820267172,14,28.51339171,6630.208961,6.379406438,55.0347892,26.43360633,67.87563949,216.0235562,67.97691606,129.1730333,26.67600185,57.17643077
MTU1010,0,Trichoderma,2,high,13.74049598,6741.574128,4.489993828,20,38.02394013,5204.91241,6.0045162,79.96697459,21.37295967,58.02206988,190.3440486,12.88200532,118.0479208,22.2560716,47.11100536
Pusa44,1,Trichoderma,2,low,29.37841192,4693.229029,2.591300529,15,21.06921953,7373.615021,6.20607214,76.01087934,31.00710653,70.04776115,194.0426285,22.01040685,102.0674175,39.78017713,49.56344197
Pusa44,0,Chemical_B,1,medium,36.14784905,4025.916073,5.276294807,11,31.198432,4030.588905,6.814662899,76.6143473,25.89537128,62.03412667,89.73483512,42.57273844,128.9125055,24.71467197,45.34882749
MTU1010,0,Chemical_A,2,high,39.39292527,3034.888024,3.696034614,23,27.7731233,4954.799841,6.75431902,88.90016297,20.01761972,50.07388768,74.3257167,6.016219865,138.1448048,36.84245044,32.17479066
MTU1010,1,Trichoderma,1,low,19.43704003,5721.742162,5.960029893,18,24.4729264,4426.040424,5.631908797,61.19314989,21.58731885,84.79064388,73.24632335,23.67997363,81.55662985,37.14594925,59.12447918
Swarna,0,Pseudomonas,2,medium,48.70429793,5627.697135,6.461558327,17,30.78161763,7769.348145,6.020575304,62.28713722,25.78996386,59.62637109,72.00458184,25.28799206,92.4060419,13.22187709,50.79982392
MTU1010,0,Trichoderma,2,high,84.40383012,3228.700032,3.138960713,10,29.74352084,5527.980287,5.950362131,87.26964494,31.84334498,81.7685519,75.42776031,8.542947684,127.6248246,35.59250352,54.11450011
BR11,1,Pseudomonas,1,low,54.96042194,4400.304803,5.147102709,24,23.65792012,6134.659802,5.948925882,56.9043035,21.56640282,57.16594156,187.4263503,62.87889665,118.0172437,36.95235112,39.72208252
BR11,1,Trichoderma,1,medium,30.79917798,5373.990853,4.374982905,6,36.89629961,8082.631901,6.621109359,53.21257045,33.86820001,77.81332297,276.508024,16.25090985,83.80031126,35.05014588,44.8107283
Swarna,0,Pseudomonas,2,high,51.74484746,3707.136238,4.278305569,16,30.91608274,4521.395448,6.43065772,58.2631345,24.49006759,73.41298263,117.5177629,21.42632231,103.6703862,17.20647525,52.0565581
IR64,1,Chemical_B,2,low,32.51124098,5646.42078,3.55868668,23,23.49267401,5994.530807,5.972749811,77.32956985,22.33079623,82.36281924,78.79398457,19.224635,136.2242133,13.08201877,37.79069348
BR11,0,Chemical_B,2,medium,37.59419433,3816.757568,4.911043852,24,20.90764135,7261.850293,7.370503773,87.3776183,20.45822154,79.28561187,217.468275,42.02806466,87.59976724,27.01367838,56.02310616
BR11,0,Chemical_A,1,high,38.44564927,5547.34352,6.656417999,13,21.97065463,4702.731225,5.842259637,89.02051334,25.14870603,75.3646783,278.2890207,42.73350344,137.7416225,39.64378469,41.85331385
Swarna,0,Chemical_B,1,low,86.20438715,6257.657464,2.927532568,22,22.73196408,7182.397697,6.251459261,67.10396066,25.61247944,86.8849022,279.7727502,53.52063705,84.49907374,13.71129841,46.17631652
Pusa44,1,Pseudomonas,2,medium,87.01532068,6459.220794,4.321191315,23,39.26685201,4363.211539,6.170560641,58.37810622,20.18357503,53.80876547,281.1932184,23.13202753,87.9105777,18.72899358,51.05909646
Pusa44,0,Pseudomonas,2,high,64.59633735,3388.044628,6.125107126,15,15.29141896,7849.959027,6.232711093,74.92935122,32.31516717,71.81799427,211.0512447,53.665621,90.06418338,16.69487145,40.91711185
